	Domain	Phylum	Class	Order	Family	Genus	Species
ASV_460	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_461	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_462	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_463	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_464	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_465	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_466	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_467	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_468	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_469	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_470	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_471	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_472	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_473	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_474	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_475	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_476	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerotignum	
ASV_477	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_478	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalibaculum	
ASV_479	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_480	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_482	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_481	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_483	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_484	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_485	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	
ASV_486	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalibaculum	
ASV_487	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_488	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_490	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_489	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_491	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_492	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_493	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_494	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_495	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_498	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_496	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_497	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_499	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_500	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_501	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_502	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_503	Bacteria	Firmicutes					
ASV_505	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae		
ASV_504	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_506	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_507	Bacteria	Firmicutes					
ASV_508	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales			
ASV_509	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_510	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_511	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae		
ASV_512	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_514	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_513	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_515	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_516	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	
ASV_518	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_517	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_519	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_521	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_520	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_522	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_523	Bacteria						
ASV_525	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_524	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_526	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_527	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_529	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_528	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_530	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_531	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_533	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_532	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Schaedlerella	
ASV_534	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_535	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_536	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	
ASV_537	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	
ASV_538	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_540	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales			
ASV_539	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_541	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_542	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_543	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_544	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_545	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_546	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_547	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_550	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_548	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_549	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_551	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales			
ASV_553	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_552	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_554	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_555	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_557	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_556	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_558	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_559	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_560	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_561	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_562	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_563	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_564	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales			
ASV_566	Bacteria						
ASV_565	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_567	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_568	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium_IV	
ASV_570	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_569	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_571	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_572	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
